hotel_name,image_url
Erdem Otel,https://images.unsplash.com/photo-1729474970592-8af0ec917d9f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxFcmRlbSUyME90ZWx8ZW58MHx8fHwxNzQ3ODYzNDQ3fDA&ixlib=rb-4.1.0&q=80&w=1080
Ersöz Butik Otel,https://images.unsplash.com/photo-1729474970592-8af0ec917d9f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxFcnMlQzMlQjZ6JTIwQnV0aWslMjBPdGVsfGVufDB8fHx8MTc0Nzg2MzQ0N3ww&ixlib=rb-4.1.0&q=80&w=1080
Esen Apart,https://images.unsplash.com/photo-1691835245247-50cdcb670fd0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxFc2VuJTIwQXBhcnR8ZW58MHx8fHwxNzQ3ODYzNDUwfDA&ixlib=rb-4.1.0&q=80&w=1080
Fabric Otel Akyaka,https://images.unsplash.com/photo-1534639077088-d702bcf685e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxGYWJyaWMlMjBPdGVsJTIwQWt5YWthfGVufDB8fHx8MTc0Nzg2MzQ1MHww&ixlib=rb-4.1.0&q=80&w=1080
Feron Otel,https://images.unsplash.com/photo-1729474970592-8af0ec917d9f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxGZXJvbiUyME90ZWx8ZW58MHx8fHwxNzQ3ODYzNDUyfDA&ixlib=rb-4.1.0&q=80&w=1080
Gaye Apart Hotel,https://images.unsplash.com/photo-1445991842772-097fea258e7b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxHYXllJTIwQXBhcnQlMjBIb3RlbHxlbnwwfHx8fDE3NDc4NjM0NTR8MA&ixlib=rb-4.1.0&q=80&w=1080
Gokturk Otel,https://images.unsplash.com/photo-1665332521450-d9910a4b8a12?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxHb2t0dXJrJTIwT3RlbHxlbnwwfHx8fDE3NDc4NjM0NTZ8MA&ixlib=rb-4.1.0&q=80&w=1080
Gökova Şemkin Apart,https://images.unsplash.com/photo-1680498683896-5c020d334b24?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxHJUMzJUI2a292YSUyMCVDNSU5RWVta2luJTIwQXBhcnR8ZW58MHx8fHwxNzQ3ODYzNDU3fDA&ixlib=rb-4.1.0&q=80&w=1080
Göktürk Butik Otel,https://images.unsplash.com/photo-1592835412756-213efed3aaf7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxHJUMzJUI2a3QlQzMlQkNyayUyMEJ1dGlrJTIwT3RlbHxlbnwwfHx8fDE3NDc4NjM0NTh8MA&ixlib=rb-4.1.0&q=80&w=1080
Gülemce Apart & Villas,https://images.unsplash.com/photo-1616424525183-4042d746ac85?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3NTQyMTB8MHwxfHNlYXJjaHwxfHxHJUMzJUJDbGVtY2UlMjBBcGFydCUyMHxlbnwwfHx8fDE3NDc4NjM0NTl8MA&ixlib=rb-4.1.0&q=80&w=1080
